JDate,Julian_Date,Date,Month,Day,Year,Period,Region,Site_HF,Hours_Presence,DayHr,Proportion_Presence,CorrPres
220,220,8/8/10,8,8,2010,P1,Central,17,14,24,0.583333333,0.583333333
220,220,8/8/10,8,8,2010,P1,Central,18,24,24,1,0.763157895
220,220,8/8/10,8,8,2010,P1,Tortugas,19,12,24,0.5,0.416666667
220,220,8/8/10,8,8,2010,P1,Tortugas,20,15,24,0.625,0.625
220,220,8/8/10,8,8,2010,P1,Tortugas,21,23,24,0.958333333,0.958333333
221,221,8/9/10,8,9,2010,P1,West,1,23,24,0.958333333,0.910416667
221,221,8/9/10,8,9,2010,P1,West,2,9,24,0.375,0.3046875
221,221,8/9/10,8,9,2010,P1,West,4,12,24,0.5,0.425
221,221,8/9/10,8,9,2010,P1,Central,6,22,24,0.916666667,0.916666667
221,221,8/9/10,8,9,2010,P1,Central,7,15,24,0.625,0.625
221,221,8/9/10,8,9,2010,P1,Central,8,21,24,0.875,0.736842105
221,221,8/9/10,8,9,2010,P1,Central,9,24,24,1,1
221,221,8/9/10,8,9,2010,P1,Central,10,24,24,1,1
221,221,8/9/10,8,9,2010,P1,Central,11,22,24,0.916666667,0.840277778
221,221,8/9/10,8,9,2010,P1,Central,17,16,24,0.666666667,0.666666667
221,221,8/9/10,8,9,2010,P1,Central,18,20,24,0.833333333,0.635964912
221,221,8/9/10,8,9,2010,P1,Tortugas,19,18,24,0.75,0.625
221,221,8/9/10,8,9,2010,P1,Tortugas,20,11,24,0.458333333,0.458333333
221,221,8/9/10,8,9,2010,P1,Tortugas,21,15,24,0.625,0.625
222,222,8/10/10,8,10,2010,P1,West,1,21,24,0.875,0.83125
222,222,8/10/10,8,10,2010,P1,West,2,8,24,0.333333333,0.270833333
222,222,8/10/10,8,10,2010,P1,West,4,12,24,0.5,0.425
222,222,8/10/10,8,10,2010,P1,Central,6,24,24,1,1
222,222,8/10/10,8,10,2010,P1,Central,7,17,24,0.708333333,0.708333333
222,222,8/10/10,8,10,2010,P1,Central,8,23,24,0.958333333,0.807017544
222,222,8/10/10,8,10,2010,P1,Central,9,17,24,0.708333333,0.708333333
222,222,8/10/10,8,10,2010,P1,Central,10,24,24,1,1
222,222,8/10/10,8,10,2010,P1,Central,11,23,24,0.958333333,0.878472222
222,222,8/10/10,8,10,2010,P1,Central,17,15,24,0.625,0.625
222,222,8/10/10,8,10,2010,P1,Central,18,23,24,0.958333333,0.731359649
222,222,8/10/10,8,10,2010,P1,Tortugas,19,18,24,0.75,0.625
222,222,8/10/10,8,10,2010,P1,Tortugas,20,12,24,0.5,0.5
222,222,8/10/10,8,10,2010,P1,Tortugas,21,8,24,0.333333333,0.333333333
223,223,8/11/10,8,11,2010,P1,West,1,22,24,0.916666667,0.870833333
223,223,8/11/10,8,11,2010,P1,West,2,18,24,0.75,0.609375
223,223,8/11/10,8,11,2010,P1,West,4,15,24,0.625,0.53125
223,223,8/11/10,8,11,2010,P1,Central,6,23,24,0.958333333,0.958333333
223,223,8/11/10,8,11,2010,P1,Central,7,24,24,1,1
223,223,8/11/10,8,11,2010,P1,Central,8,17,24,0.708333333,0.596491228
223,223,8/11/10,8,11,2010,P1,Central,9,24,24,1,1
223,223,8/11/10,8,11,2010,P1,Central,10,24,24,1,1
223,223,8/11/10,8,11,2010,P1,Central,11,24,24,1,0.916666667
223,223,8/11/10,8,11,2010,P1,Central,17,19,24,0.791666667,0.791666667
223,223,8/11/10,8,11,2010,P1,Central,18,24,24,1,0.763157895
